Accountid,Companyid,EventCode,Quantity
438591591690452,489146,SMS,9
342406087547313,534464,SMS,2
133495689906069,534464,SMS,7
671855575725001,534464,SMS,4
143786326453375,937225,SMS,3
159119983353199,937225,SMS,2
308531533947529,814466,SMS,6
565429056023526,534464,SMS,3
601069955239414,534464,SMS,2
634097254069385,560023,SMS,2
022947260731955,937225,SMS,1
595371306439969,573166,SMS,4
400205263829892,207984,SMS,17
004393174316338,534464,SMS,10
294215815399347,560023,SMS,2
256736703111456,534464,SMS,5
239619062930562,016627,SMS,3
181153365023643,937225,SMS,4
148015096318962,534464,SMS,16
741079444032926,534464,SMS,15
634779980962365,534464,SMS,4
325747599070884,207984,SMS,7
431645706377220,937225,SMS,16
945292591109375,534464,SMS,1
987259867855382,489146,SMS,1
371636647222370,534464,SMS,17
394038429869648,207984,SMS,1
013508421890559,534464,SMS,3
680625392655690,534464,SMS,14
754901851846007,207984,SMS,4
129164833099256,573166,SMS,6
090587402382180,534464,SMS,3
208739964683022,534464,SMS,3
794643974702867,534464,SMS,12
775729963972745,016627,SMS,1
210401447851561,534464,SMS,6
397538351156360,534464,SMS,1
181683461514077,560023,SMS,5
863131498172776,390972,SMS,1
039589915020331,534464,SMS,3
082339236690751,534464,SMS,4
230178360066738,534464,SMS,8
610599445816077,421085,SMS,1
575774332166823,534464,SMS,1
780110559183453,534464,SMS,10
007463905624026,016627,SMS,1
072876569700496,534464,SMS,1
156302375095724,207984,SMS,4
732431143728853,534464,SMS,86
811546508704397,534464,SMS,9
599391833685556,534464,SMS,6
363043358684416,814466,SMS,7
959264445880358,489146,SMS,1
537064702511138,534464,SMS,5
974782448001437,534464,SMS,3
255262235794661,534464,SMS,5
288224563858642,534464,SMS,17
346968525988138,937225,SMS,4
587957105525358,534464,SMS,5
189719040654450,534464,SMS,2
821021702496923,534464,SMS,8
121231600219052,489146,SMS,5
878105807887491,937225,SMS,6
298180947569931,016627,SMS,4
279101549687999,534464,SMS,4
412127343881772,534464,SMS,7
297348991228149,534464,SMS,6
039026185204889,534464,SMS,13
239099272944512,489146,SMS,1
313041858554640,560023,SMS,5
819279154980678,534464,SMS,2
478582254687225,534464,SMS,2
104092360071380,937225,SMS,5
565402167687421,534464,SMS,1
935031032605189,814466,SMS,4
355013717555648,421085,SMS,1
424018815791896,489146,SMS,2
589403983122542,534464,SMS,21
067908858814082,145279,SMS,6
339877274235696,534464,SMS,3
728123917534475,534464,SMS,9
093829280089392,016627,SMS,3
390001263972130,016627,SMS,2
332012044526874,534464,SMS,2
193758773333769,534464,SMS,4
838592274265742,534464,SMS,6
682509932125437,207984,SMS,2
951227645255874,489146,SMS,2
662682909545977,937225,SMS,1
658784189055261,534464,SMS,1
395259232171342,534464,SMS,7
396511896985217,534464,SMS,1
838205527946944,534464,SMS,21
724094501472484,534464,SMS,2
333303481965445,489146,SMS,1
686437053727729,016627,SMS,2
956882711671587,937225,SMS,2
448378520778553,534464,SMS,15
973012771500070,814466,SMS,5
766966173144067,534464,SMS,3
862393835881024,534464,SMS,2
792661549620573,534464,SMS,4
997308834888511,534464,SMS,6
859557617440491,560023,SMS,23
533746406167454,489146,SMS,9
970489560993701,489146,SMS,5
574142744201770,534464,SMS,5
388363334098206,534464,SMS,7
523240280155103,534464,SMS,4
349083223605613,955100,SMS,29
936744321726674,534464,SMS,47
256420005223304,814466,SMS,1
786707556454794,534464,SMS,17
822524636320752,145279,SMS,2
581871620617027,560023,SMS,4
046418231571012,534464,SMS,4
463590321354762,489146,SMS,1
454839342390117,489146,SMS,3
231717486115093,489146,SMS,17
136351024078410,207984,SMS,1
128599030795221,016627,SMS,1
768734805724450,814466,SMS,7
269061789608543,534464,SMS,9
939484629963366,784003,SMS,2
840524432949365,207984,SMS,3
163887197917301,860626,SMS,1
139206709586487,534464,SMS,1
763683236449575,534464,SMS,5
423852157277303,489146,SMS,6
712202950910321,784003,SMS,1
721414907230919,207984,SMS,3
192974652957687,534464,SMS,4
527839207583363,784003,SMS,1
761859848483360,489146,SMS,3
418344199950704,534464,SMS,4
593734555521139,784003,SMS,5
993154336458171,534464,SMS,10
030048763745557,534464,SMS,4
097451815930859,534464,SMS,5
774088004199119,581486,SMS,8
278115514653625,207984,SMS,10
300385942605491,784003,SMS,2
428561304445645,937225,SMS,10
286129312014969,534464,SMS,1
563992173484857,534464,SMS,2
180245040313313,534464,SMS,10
789183604643444,534464,SMS,13
316760067612279,784003,SMS,1
330630116957379,534464,SMS,2
818795007718439,534464,SMS,4
664515541788122,534464,SMS,7
978544257165494,534464,SMS,6
573067115431141,534464,SMS,3
289245673287404,534464,SMS,2
180472217284692,534464,SMS,3
544546316943299,534464,SMS,4
997838775525355,534464,SMS,4
249971347517652,534464,SMS,5
162955442535201,207984,SMS,11
485418807808019,534464,SMS,6
606728540722326,534464,SMS,3
117221125368787,534464,SMS,1
617110847662737,207984,SMS,11
613000335116123,016627,SMS,1
009440270223666,573166,SMS,4
906361616192665,534464,SMS,3
821304232079208,207984,SMS,1
742047757408042,489146,SMS,1
267097588079582,573166,SMS,1
298998101730351,560023,SMS,8
052258548359036,489146,SMS,3
512758942181233,207984,SMS,1
178074470349365,573166,SMS,4
854876985665869,534464,SMS,1
460303594236958,534464,SMS,5
943959210038721,107488,SMS,2
655609816475703,207984,SMS,1
503255118344824,534464,SMS,4
273942636571744,937225,SMS,4
279113338653180,937225,SMS,6
901940154069088,534464,SMS,3
295502809218229,534464,SMS,40
564203417709479,534464,SMS,2
782673314253496,489146,SMS,8
274088859754262,534464,SMS,6
305187915038119,534464,SMS,15
086756680706876,016627,SMS,2
476786474741167,489146,SMS,6
281228243767572,534464,SMS,32
528375223318164,573166,SMS,1
279878456179708,534464,SMS,1
876362308492119,016627,SMS,1
955540235299545,753293,SMS,5
602035516789243,016627,SMS,25
991200806725129,534464,SMS,6
519960590262204,534464,SMS,3
377474776368617,534464,SMS,1
578501483059531,534464,SMS,15
883676334205397,489146,SMS,11
966703179701981,534464,SMS,7
368055413671581,534464,SMS,1
969127026876466,937225,SMS,77
202486553596602,937225,SMS,3
865820626502545,207984,SMS,1
957840833190103,937225,SMS,43
348756764757045,534464,SMS,2
832527887740378,534464,SMS,1
929032118718325,207984,SMS,1
359561524246769,534464,SMS,4
743889613680459,207984,SMS,2
260165845310702,016627,SMS,10
679833867997675,573166,SMS,5
090180946635558,534464,SMS,1
375956178571710,534464,SMS,6
407251963239570,016627,SMS,24
145591668068717,421085,SMS,3
355438901130796,534464,SMS,3
741048324296712,207984,SMS,4
611375796245551,534464,SMS,1
749100461346136,937225,SMS,28
382244601831798,937225,SMS,22
909213240589569,207984,SMS,3
577504872370650,937225,SMS,2
100949824215382,016627,SMS,11
984257932631791,534464,SMS,2
112370590007263,534464,SMS,3
905213862974421,534464,SMS,5
247188373538734,534464,SMS,5
159623737660386,937225,SMS,8
552408617199603,534464,SMS,1
691402956220792,489146,SMS,6
182829654522639,937225,SMS,7
996287375899070,937225,SMS,6
061014138082909,207984,SMS,2
949448033920068,016627,SMS,20
706901521587782,534464,SMS,3
344318099065259,937225,SMS,13
875743779893449,534464,SMS,1
427950334517631,534464,SMS,1
555493279305706,534464,SMS,16
932455967510170,016627,SMS,5
786957930492909,534464,SMS,2
259931904804264,534464,SMS,8
127237377845445,534464,SMS,8
608424792555992,534464,SMS,1
564474676821024,534464,SMS,4
230027877891168,534464,SMS,5
448152030062040,016627,SMS,2
810351834954875,534464,SMS,1
868416843351721,489146,SMS,2
670994359940430,534464,SMS,4
450428960048205,489146,SMS,3
266113058918743,534464,SMS,8
865389728565841,534464,SMS,3
534759271054671,534464,SMS,13
314732843070910,489146,SMS,7
491142023764214,534464,SMS,4
383571468960401,534464,SMS,3
741694439294834,534464,SMS,2
057785937928123,016627,SMS,4
640478198969069,207984,SMS,1
586925834919707,534464,SMS,3
718624540596123,534464,SMS,13
586887446111958,489146,SMS,1
343269090805515,016627,SMS,2
828469839475761,534464,SMS,4
276548667035418,534464,SMS,1
585285054935906,145279,SMS,100
629722193915024,937225,SMS,77
285129530986586,937225,SMS,16
584656372111055,145279,SMS,3
982556040537186,534464,SMS,4
736197578642473,207984,SMS,1
738069322739924,534464,SMS,11
306130229752312,534464,SMS,3
093281137290577,534464,SMS,6
369394300191837,937225,SMS,12
410506846290325,534464,SMS,6
623471214843158,037893,SMS,1
920707239828476,145279,SMS,12
917657839493555,534464,SMS,9
597984730031500,207984,SMS,1
020708248762302,581486,SMS,3
936872888682029,937225,SMS,16
099490561927845,534464,SMS,5
712420619414827,937225,SMS,62
443373503698175,937225,SMS,6
315900368595727,784003,SMS,17
787300250488222,534464,SMS,1
448332420779796,937225,SMS,12
226574488234016,421085,SMS,4
257977244194078,489146,SMS,6
317468548739251,534464,SMS,24
152504746292077,534464,SMS,20
358623462604625,937225,SMS,8
828128508693053,814466,SMS,8
672290500056393,534464,SMS,2
312851803610835,534464,SMS,6
605161891055461,534464,SMS,2
879090850861301,534464,SMS,2
189838298105493,534464,SMS,2
772090680999219,937225,SMS,4
340842635731722,207984,SMS,1
502009494071462,937225,SMS,5
935782765770478,534464,SMS,9
884783920905286,937225,SMS,15
519177618339821,534464,SMS,3
930370623113265,534464,SMS,3
356285301538264,534464,SMS,2
527775749257195,937225,SMS,11
892846085885910,145279,SMS,11
933786915457259,937225,SMS,26
595709854596639,534464,SMS,1
510224010201252,937225,SMS,7
129414700849663,534464,SMS,1
599981303495766,489146,SMS,2
536503570245738,534464,SMS,1
366129722797623,489146,SMS,8
162124559136740,534464,SMS,1
593107536872133,581486,SMS,10
728475184050998,016627,SMS,3
655245139440874,534464,SMS,7
720306208249428,534464,SMS,8
811212164207491,534464,SMS,1
923541014526674,145279,SMS,1
620350214269371,937225,SMS,16
691376205456236,107488,SMS,1
581870160928415,534464,SMS,7
020022537160817,016627,SMS,1
707705535607437,016627,SMS,6
708914924832743,937225,SMS,4
302344749198879,445331,SMS,2
385695878280521,534464,SMS,1
339178657659666,534464,SMS,15
594675358006825,534464,SMS,11
158006667880875,170212,SMS,1
543746118152175,534464,SMS,9
569061143351148,534464,SMS,2
908406990135373,534464,SMS,2
391126670614287,937225,SMS,135
700832315868845,489146,SMS,8
297533556371919,489146,SMS,1
751282951015632,037893,SMS,1
655557339727677,534464,SMS,1
471748974101912,534464,SMS,2
624081675607993,145279,SMS,9
057004844818792,421085,SMS,3
896931431655485,534464,SMS,4
783659231856293,534464,SMS,3
382388093256106,489146,SMS,10
687809691312877,107488,SMS,9
260841838566938,534464,SMS,3
831132453637195,207984,SMS,3
556830919324805,534464,SMS,3
684656407412606,534464,SMS,2
960776438618930,534464,SMS,1
892862228134631,534464,SMS,1
678727877080871,573166,SMS,7
198012766929753,937225,SMS,12
625343234918304,937225,SMS,15
163376185576184,937225,SMS,12
413297321847391,534464,SMS,6
263329058679758,489146,SMS,1
709685829914314,753293,SMS,5
631154195030592,534464,SMS,4
421535235582419,207984,SMS,50
664072492398164,207984,SMS,5
192120216603834,534464,SMS,17
595961435475824,489146,SMS,2
424351219351360,784003,SMS,5
144631131392459,534464,SMS,12
437115364128558,396360,SMS,7
784996821716444,937225,SMS,126
164041384649805,489146,SMS,1
887683692087031,016627,SMS,8
101474987718775,534464,SMS,4
146311461588991,207984,SMS,3
867775890828055,534464,SMS,4
919759780762202,145279,SMS,4
597663918652363,534464,SMS,5
978841680067664,534464,SMS,4
565368162640471,534464,SMS,12
190175093114273,016627,SMS,1
924803444054961,489146,SMS,5
923337717695908,016627,SMS,3
072694109821685,534464,SMS,6
347051198907940,937225,SMS,8
785911008346646,534464,SMS,7
222179893378983,534464,SMS,4
384226908802010,016627,SMS,1
033606836681095,489146,SMS,11
144358986618203,534464,SMS,4
146255608077784,207984,SMS,1
594154557751943,207984,SMS,2
621163036986108,534464,SMS,1
072293187914585,937225,SMS,14
196277650385191,534464,SMS,13
658574052264602,145279,SMS,6
183178022908302,016627,SMS,11
342253572233182,534464,SMS,4
111273306223035,489146,SMS,11
108470073594132,937225,SMS,3
698118713256408,534464,SMS,4
129978157393086,534464,SMS,2
851540316066287,937225,SMS,4
532881812609449,207984,SMS,3
353898030213539,937225,SMS,251
722217525924237,145279,SMS,5
594044613142791,255586,SMS,2
928607340215622,534464,SMS,2
140417083616537,207984,SMS,3
339166764992743,445331,SMS,7
462178041611368,153468,SMS,1
471808442219431,534464,SMS,2
604981497049144,534464,SMS,1
183439385086469,207984,SMS,2
634314153936688,489146,SMS,2
559876889069751,534464,SMS,4
453411627006110,534464,SMS,43
469253636929356,534464,SMS,14
242224817892208,937225,SMS,17
106465905653501,937225,SMS,14
130636182427226,207984,SMS,2
026119470788593,534464,SMS,4
995026721419335,489146,SMS,2
749221171079628,145279,SMS,5
230128390287951,534464,SMS,2
779967489682018,534464,SMS,2
634778113215835,937225,SMS,7
535992310582225,937225,SMS,8
145869686885065,534464,SMS,4
054946171407528,534464,SMS,1
536056216905266,573166,SMS,11
424897297314743,016627,SMS,1
314625699240447,489146,SMS,16
866854233943694,784003,SMS,1
530097043854665,937225,SMS,85
865753220097256,534464,SMS,5
576428696519202,534464,SMS,3
488376535241456,534464,SMS,7
155132029262406,207984,SMS,2
167548908071664,534464,SMS,3
888001194344590,534464,SMS,3
340923898561561,207984,SMS,5
533241354575505,534464,SMS,3
685048907222857,534464,SMS,9
203878931291262,937225,SMS,14
384243526799582,534464,SMS,7
011533861330803,489146,SMS,2
441369754841377,573166,SMS,11
368385118975489,534464,SMS,6
068927238486158,860986,SMS,1
710888689936318,937225,SMS,11
432690959497862,534464,SMS,8
625334061995658,534464,SMS,4
651192285814455,784003,SMS,3
333418429216535,534464,SMS,39
550184055504993,489146,SMS,1
354158638346686,489146,SMS,5
428642054477292,573166,SMS,1
921540233128084,534464,SMS,2
745456931582481,489146,SMS,3
266173181560706,534464,SMS,2
691740178459913,534464,SMS,4
135633462503994,207984,SMS,6
640361659764148,421085,SMS,1
240450339291082,534464,SMS,6
759272530211602,534464,SMS,5
613883866033145,207984,SMS,2
210376192220769,534464,SMS,6
356625178456727,145279,SMS,2
261410102719691,534464,SMS,2
846970887288614,016627,SMS,9
264284225018388,534464,SMS,10
072853510625696,560023,SMS,25
295332724093614,534464,SMS,2
691985487914888,560023,SMS,3
479785858932256,534464,SMS,3
246213450701432,560023,SMS,8
085013791110510,534464,SMS,7
761182046790948,489146,SMS,33
893788331312801,207984,SMS,1
326450377754263,534464,SMS,4
631089916585758,489146,SMS,1
650095893997370,534464,SMS,7
821417013329541,937225,SMS,29
649577632691045,534464,SMS,2
614790666434468,489146,SMS,1
549808300298998,937225,SMS,6
622626727818412,534464,SMS,12
728287568781991,937225,SMS,20
922861553886889,534464,SMS,4
247060777426745,207984,SMS,2
265041744755600,534464,SMS,1
106557414411952,489146,SMS,1
159646246402390,016627,SMS,8
766085784307284,534464,SMS,1
756982491821464,814466,SMS,1
221440151463851,534464,SMS,1
663907671361859,937225,SMS,1
791622498309670,937225,SMS,9
925470264346565,814466,SMS,49
892081671713757,534464,SMS,6
588656422652843,937225,SMS,11
354413507016933,534464,SMS,3
975556412946286,311108,SMS,2
676521883217382,534464,SMS,3
272547771045588,534464,SMS,30
626023955442228,207984,SMS,3
160547209052409,534464,SMS,5
012480296694971,207984,SMS,2
232977645570499,534464,SMS,38
666600306637072,534464,SMS,3
809696587017565,534464,SMS,4
899667642655193,534464,SMS,3
755809494222176,534464,SMS,3
997378917363680,489146,SMS,10
845503945973189,145279,SMS,6
611557311397003,534464,SMS,10
415957380732272,534464,SMS,1
943516482571047,937225,SMS,57
987088801851965,534464,SMS,7
988350197949384,207984,SMS,4
076014549558210,560023,SMS,7
377131624070485,534464,SMS,1
619742738389914,937225,SMS,3
904592307478880,534464,SMS,25
881530231907437,534464,SMS,72
102190277627951,207984,SMS,1
205055179398767,534464,SMS,7
366192157441134,016627,SMS,4
960644231058507,534464,SMS,1
108983558944838,489146,SMS,1
283300828345527,016627,SMS,23
689014886189759,207984,SMS,2
785841841083483,534464,SMS,12
917206186664713,534464,SMS,6
710564864171261,534464,SMS,2
170130899013253,534464,SMS,17
080088930230166,534464,SMS,1
369033020985378,534464,SMS,2
286935758729245,534464,SMS,2
112926206144295,937225,SMS,12
656756981145511,145279,SMS,1
495686738603342,534464,SMS,4
226108860671349,534464,SMS,16
990127667767789,489146,SMS,1
221261485602317,937225,SMS,35
271551494273610,534464,SMS,5
729470331851392,207984,SMS,1
070835786282422,534464,SMS,4
243816121638579,207984,SMS,1
146654969546817,534464,SMS,1
338715285277928,534464,SMS,8
727637803758296,948009,SMS,4
703415993721638,534464,SMS,5
074597285006455,937225,SMS,20
172735419546604,016627,SMS,12
245648978161273,534464,SMS,1
916224897939350,534464,SMS,1
786156191152950,534464,SMS,6
269281752609806,937225,SMS,65
622942097692349,396360,SMS,2
753872529190937,534464,SMS,7
478909403485770,534464,SMS,7
144154919557742,534464,SMS,8
261227627556967,421085,SMS,1
718755743494708,560023,SMS,1
224253216117004,937225,SMS,5
507775440012081,534464,SMS,5
274444471733405,937225,SMS,10
121418654503814,573166,SMS,2
472177698451888,534464,SMS,14
862406980807663,534464,SMS,1
177551441692925,145279,SMS,15
929028607586074,016627,SMS,2
200501735042994,534464,SMS,5
404128620221069,170212,SMS,6
610374360632738,534464,SMS,1
366844743188149,145279,SMS,9
761488831578267,534464,SMS,1
809047854126515,573166,SMS,17
558254228070959,534464,SMS,11
078445742566982,207984,SMS,3
054112060708720,534464,SMS,5
545124048478938,534464,SMS,2
299047467110520,534464,SMS,2
324383027822766,534464,SMS,3
914091819511925,534464,SMS,6
405561429448197,016627,SMS,2
426437216129151,534464,SMS,3
584079567488455,534464,SMS,9
907400288839810,207984,SMS,15
908961898908317,534464,SMS,7
720514067325427,489146,SMS,27
697009064665034,534464,SMS,4
618989838867727,534464,SMS,37
547177725393199,534464,SMS,2
790133601240980,534464,SMS,4
263235936437566,534464,SMS,20
653838079765607,489146,SMS,3
593697538208376,581486,SMS,2
053209638401790,016627,SMS,1
678168371101734,784003,SMS,5
201460601209007,937225,SMS,2
661278987124902,534464,SMS,1
120001785508142,534464,SMS,9
120771750374428,534464,SMS,5
359409649270436,534464,SMS,2
577797180427094,534464,SMS,3
116039830055235,534464,SMS,9
107969320878214,534464,SMS,1
085972779753765,534464,SMS,3
411109275581516,489146,SMS,2
537693339836969,534464,SMS,31
433626123767584,534464,SMS,2
665506713350738,560023,SMS,5
343062117535154,489146,SMS,3
524825422424816,534464,SMS,2
720737836469804,534464,SMS,1
551964422597915,207984,SMS,1
330727034469821,534464,SMS,5
186048123539348,534464,SMS,2
396291066971204,421085,SMS,9
575404368071117,534464,SMS,1
818962450164120,534464,SMS,8
659619410689995,534464,SMS,3
373463457959601,534464,SMS,1
183956061834954,534464,SMS,35
234049146768884,534464,SMS,6
934752883124657,489146,SMS,4
730364343051813,560023,SMS,6
257220044214876,937225,SMS,42
595373893883606,534464,SMS,8
039194842295347,489146,SMS,4
278977306445782,145279,SMS,11
576779281003895,534464,SMS,3
709346875959294,534464,SMS,9
102594021254878,534464,SMS,5
757655963822546,534464,SMS,16
527821687027612,534464,SMS,35
740148954569585,937225,SMS,16
326347556055856,534464,SMS,1
457439338673528,560023,SMS,3
118791315739103,534464,SMS,8
151189193674564,489146,SMS,13
954957565113501,534464,SMS,6
018641233251547,534464,SMS,4
810974691358229,534464,SMS,3
246988096388664,534464,SMS,4
125471312977548,016627,SMS,5
441914693188087,534464,SMS,1
906003865402231,937225,SMS,3
484750865714973,937225,SMS,4
555113693800367,016627,SMS,1
924049095409232,534464,SMS,3
620860904693004,534464,SMS,20
112560528263721,534464,SMS,3
768314080909829,560023,SMS,1
705529100937187,207984,SMS,6
660411438340941,753293,SMS,3
680149703967434,534464,SMS,1
873398140094139,534464,SMS,32
380015470728246,534464,SMS,6
056384800694273,534464,SMS,1
307890205779750,753293,SMS,20
913266789843863,534464,SMS,2
162815319114277,016627,SMS,18
097281881103925,145279,SMS,3
651988107162756,534464,SMS,13
856308371461253,937225,SMS,9
770290799301592,489146,SMS,1
547730369763506,489146,SMS,3
761716702229429,255586,SMS,4
328988946576485,534464,SMS,1
466555078487657,534464,SMS,1
267471768181391,145279,SMS,2
802856742677379,937225,SMS,6
739605960885528,207984,SMS,1
076995040110374,534464,SMS,4
830885434291750,560023,SMS,1
559555314758056,560023,SMS,2
530227239266859,489146,SMS,2
729975300269014,560023,SMS,7
083154308531768,534464,SMS,17
051872729045524,534464,SMS,6
393571057626877,937225,SMS,26
795288287638665,937225,SMS,2
536245749219063,534464,SMS,30
921949477482655,016627,SMS,3
671452727143570,534464,SMS,6
155590811798934,534464,SMS,3
137962135309594,937225,SMS,9
852501269099442,534464,SMS,2
211163134144492,489146,SMS,15
297620945281571,421085,SMS,2
072659310694908,489146,SMS,3
115001775478865,534464,SMS,8
174959567281720,534464,SMS,9
541682811492694,534464,SMS,6
854236009830836,937225,SMS,3
987165249091023,573166,SMS,8
672555877231224,534464,SMS,3
570535786443690,207984,SMS,2
082522571171026,534464,SMS,12
360423188941273,534464,SMS,4
739746366846364,489146,SMS,7
760196416966713,534464,SMS,45
961188615838658,534464,SMS,17
560632133061665,534464,SMS,6
448312847162516,937225,SMS,26
088777413310978,534464,SMS,3
671729635469734,534464,SMS,1
541974862489427,534464,SMS,10
988465932265927,534464,SMS,4
322353980988808,145279,SMS,7
626141090718902,534464,SMS,1
006798878467449,534464,SMS,17
683974385797259,937225,SMS,6
762869257124650,534464,SMS,22
650145077358771,534464,SMS,4
362263261555244,489146,SMS,1
599454562398651,955100,SMS,1
721867758931689,534464,SMS,5
733015632166134,489146,SMS,5
585898855853463,534464,SMS,14
175548653863637,784003,SMS,5
213289351659408,534464,SMS,1
854236009830836,937225,SMS,39
684811011722460,534464,SMS,2
068914328796457,534464,SMS,1
258185040394952,534464,SMS,9
511227629019692,573166,SMS,4
889134381913877,534464,SMS,8
952352781408670,937225,SMS,9
424960069168729,534464,SMS,23
212253981827354,534464,SMS,5
733451658473104,534464,SMS,14
776541375215162,489146,SMS,2
453467699635925,534464,SMS,6
483111400883268,937225,SMS,44
815604195214813,534464,SMS,4
509454366400084,534464,SMS,1
266450040722786,937225,SMS,12
670569313406703,489146,SMS,7
854236009830836,937225,SMS,63
573691040745564,534464,SMS,9
350423785231942,534464,SMS,9
341098490973332,534464,SMS,11
140074018156370,534464,SMS,9
226366494726301,534464,SMS,6
691448204681751,937225,SMS,2
168563958052694,534464,SMS,3
223867199734747,489146,SMS,12
511551677469675,207984,SMS,1
604535441658347,534464,SMS,1
363593922175498,534464,SMS,2
704380511866444,534464,SMS,8
803511192287685,534464,SMS,17
987130377147191,534464,SMS,6
747833689504656,534464,SMS,5
585611304450384,016627,SMS,2
506504670056664,489146,SMS,7
753971385383132,534464,SMS,3
857605580841797,107488,SMS,1
376012726611313,534464,SMS,19
220621736186369,814466,SMS,2
751781595970866,534464,SMS,9
826389070917061,534464,SMS,3
011667041959679,534464,SMS,1
430542401363326,937225,SMS,8
659921036019364,534464,SMS,1
938673954281122,016627,SMS,7
394933947927366,534464,SMS,4
645130863540030,207984,SMS,3
377300858200788,534464,SMS,1
112227974622806,534464,SMS,3
794421985567941,534464,SMS,11
653442947016874,534464,SMS,8
539660492512851,534464,SMS,1
594157483694413,534464,SMS,1
677573604827229,489146,SMS,2
113785391996358,489146,SMS,6
535699344666246,534464,SMS,4
786974897048012,207984,SMS,2
322273405972211,534464,SMS,26
737078073840754,207984,SMS,1
107529017585040,016627,SMS,2
496242541707352,534464,SMS,4
462414445171944,534464,SMS,3
706908274079014,784003,SMS,3
273498268408867,534464,SMS,10
636635547625846,534464,SMS,6
646645779902794,534464,SMS,29
760022439540208,534464,SMS,4
630421936872075,560023,SMS,10
224740120254003,207984,SMS,3
628978203841716,534464,SMS,60
346482056340542,937225,SMS,12
057484543657778,534464,SMS,1
279289353988879,489146,SMS,1
256562132708296,534464,SMS,22
743743607657903,534464,SMS,2
160705938561203,534464,SMS,1
252877317726021,534464,SMS,9
613730398221248,016627,SMS,2
931311466723608,207984,SMS,2
477963297445616,489146,SMS,21
392119253972975,534464,SMS,7
046138188724307,534464,SMS,29
794669525790998,753293,SMS,21
801029935571966,766449,SMS,3
472255546627953,937225,SMS,55
553305243038327,787909,SMS,2
710919396392354,207984,SMS,2
060210006495912,489146,SMS,2
112531955499858,534464,SMS,4
845858586168796,745110,SMS,7
656457737813953,534464,SMS,1
552922613496261,814466,SMS,1
173486307914428,937225,SMS,45
352872610359323,534464,SMS,6
352717252790620,534464,SMS,7
824656716189015,534464,SMS,1
047223094727851,937225,SMS,6
161058944909042,145279,SMS,5
200906905965933,534464,SMS,9
104388477537798,534464,SMS,87
848525477315734,534464,SMS,9
882471304463170,534464,SMS,3
185398015224761,482291,SMS,1
880452711348083,534464,SMS,41
837810982713577,489146,SMS,4
802592034799970,534464,SMS,5
391535824643382,534464,SMS,1
185755863061263,534464,SMS,7
533014941598520,207984,SMS,1
814618778348889,534464,SMS,3
968256800089452,787909,SMS,1
357889939895994,534464,SMS,1
121830666192448,016627,SMS,8
017938474700095,534464,SMS,15
056229883051871,534464,SMS,11
565589994106901,534464,SMS,1
260970788123911,489146,SMS,7
765726300506437,560023,SMS,2
220147638584396,534464,SMS,5
251323039873362,534464,SMS,3
486089531414774,937225,SMS,1
733172307371470,207984,SMS,2
283170039119547,207984,SMS,2
510373051839284,489146,SMS,5
568391795799562,534464,SMS,1
985475140468739,037893,SMS,3
134063142636158,534464,SMS,5
253490198018763,534464,SMS,12
272944975472592,937225,SMS,5
845145199161599,421085,SMS,3
697362641765497,534464,SMS,9
296857387102914,937225,SMS,50
458091687137970,016627,SMS,5
362634453352841,534464,SMS,2
119838453585166,534464,SMS,10
963719638464270,445331,SMS,2
899447320602514,016627,SMS,2
128726705605564,534464,SMS,2
609314917183750,814466,SMS,5
666758350479146,445331,SMS,1
409291694640629,207984,SMS,9
061830223943556,534464,SMS,58
870075416884546,937225,SMS,74
519653154622319,534464,SMS,20
433523105774590,814466,SMS,11
908621869965065,145279,SMS,10
265635605099630,937225,SMS,269
785327682581932,937225,SMS,1
559108293894451,753293,SMS,35
008129453382879,534464,SMS,4
381870367156425,534464,SMS,4
105134901769680,534464,SMS,1
835674301815176,937225,SMS,20
532870148675934,534464,SMS,3
828580291321336,207984,SMS,8
418918438555853,207984,SMS,1
801519771030462,784003,SMS,1
507368136641952,534464,SMS,1
818077725051611,534464,SMS,10
091820856105561,534464,SMS,5
380956450019705,814466,SMS,1
110668955605892,534464,SMS,13
652489494940983,534464,SMS,2
433239993172775,534464,SMS,7
481271971851920,534464,SMS,40
564987717415800,489146,SMS,1
661421973366579,937225,SMS,127
517720101447940,784003,SMS,1
970874564582691,534464,SMS,2
449194854972829,534464,SMS,3
681201592147627,016627,SMS,2
209989940397605,489146,SMS,2
404222395219824,016627,SMS,7
779191080160233,937225,SMS,3
804927087743238,534464,SMS,7
101398898504849,489146,SMS,2
477268420509798,534464,SMS,1
891535816844456,534464,SMS,3
258899074665127,560023,SMS,1
590292879879913,534464,SMS,6
418581922917648,534464,SMS,20
936002418179825,534464,SMS,5
550989671820582,534464,SMS,2
538542948702476,534464,SMS,8
953648309379697,534464,SMS,5
782262743819785,814466,SMS,4
061714758805313,534464,SMS,2
496890441718606,937225,SMS,14
715252318164227,534464,SMS,3
960394972965166,016627,SMS,9
220319260542235,534464,SMS,1
703363223216926,534464,SMS,1
426392924909416,016627,SMS,2
